2016-06-22 19:16:02 1466594162763238974 [NOTIFY] state change to STOP
2016-06-22 19:17:53 1466594273580311173 [NOTIFY] state change to BACKUP
OK
2016-06-22 19:29:13 1466594953598803273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:18 1466594958598949174 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:23 1466594963599214674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:28 1466594968599326374 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:33 1466594973600203773 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:38 1466594978599516874 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:43 1466594983599682773 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:48 1466594988599167974 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:53 1466594993599849674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:29:58 1466594998600491973 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:03 1466595003600961174 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:08 1466595008602463473 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:13 1466595013602717871 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:18 1466595018603549874 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:23 1466595023603839047 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:28 1466595028605161773 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:33 1466595033605274074 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:38 1466595038606171473 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:43 1466595043606817674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:48 1466595048607480874 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:53 1466595053608499173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:30:58 1466595058608958173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:03 1466595063610320673 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:08 1466595068610604673 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:13 1466595073611414729 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:18 1466595078611833073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:23 1466595083612345873 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:28 1466595088613643274 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:33 1466595093613965452 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:38 1466595098615305774 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:43 1466595103615375245 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:48 1466595108616134273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:53 1466595113616706173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:31:58 1466595118617332874 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:32:03 1466595123617903273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:32:08 1466595128618891909 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:32:13 1466595133619356474 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:32:18 1466595138619954273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:32:23 1466595143620752174 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:32:28 1466595148621876973 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:32:33 1466595153622075855 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:32:38 1466595158624271274 [CHECK] File removed: /usr/local/keepalived/bin/status.tmp
2016-06-22 19:33:33 1466595213776618973 [NOTIFY] state change to BACKUP
OK
2016-06-22 19:33:38 1466595218649227273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:33:43 1466595223631572073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:33:48 1466595228631994174 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:33:53 1466595233632578181 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:33:58 1466595238633951455 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:03 1466595243635860141 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:08 1466595248634820992 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:13 1466595253635170136 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:18 1466595258635909571 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:23 1466595263636719874 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:28 1466595268637405774 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:33 1466595273637799673 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:38 1466595278638561074 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:43 1466595283638974073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:48 1466595288640309873 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:53 1466595293640690226 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:34:58 1466595298641163839 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:03 1466595303641507574 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:08 1466595308642571473 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:13 1466595313642806860 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:18 1466595318643837620 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:23 1466595323643916674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:28 1466595328644896974 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:33 1466595333645619873 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:38 1466595338646277373 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:43 1466595343646829389 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:48 1466595348647615073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:53 1466595353648383296 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:35:58 1466595358648617174 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:03 1466595363648942073 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:08 1466595368649843530 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:13 1466595373650480651 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:18 1466595378650844662 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:23 1466595383651560577 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:28 1466595388652107378 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:33 1466595393652621973 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:38 1466595398652924060 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:43 1466595403653462973 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:48 1466595408653802074 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:53 1466595413654487127 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:36:58 1466595418654830273 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:03 1466595423655489496 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:08 1466595428655741420 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:13 1466595433656484274 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:18 1466595438656571984 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:23 1466595443657106173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:28 1466595448658456674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:33 1466595453659783502 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:38 1466595458658365674 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:43 1466595463658921673 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:48 1466595468658884373 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:53 1466595473659699435 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:37:58 1466595478659867358 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:38:03 1466595483660785574 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:38:08 1466595488660418571 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:38:13 1466595493660855173 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:38:18 1466595498661003573 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:38:23 1466595503661424707 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:38:28 1466595508661594824 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:38:33 1466595513663266486 [CHECK] File removed: /usr/local/keepalived/bin/status.tmp
2016-06-22 19:38:49 1466595529622579874 [NOTIFY] state change to MASTER
OK
2016-06-22 19:38:53 1466595533667797695 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:38:58 1466595538662912776 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:03 1466595543663100573 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:08 1466595548662820074 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:13 1466595553663100673 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
2016-06-22 19:39:18 1466595558663102274 [CHECK] STATUS_TMP: /usr/local/keepalived/bin/status.tmp already exist, OK
